body,title
"Жмурки - старинная русская игра: водящий, с завязанными глазами, ловит остальных играющих. К середине 1990-х правила игры изменились: выигрывает тот, кто останется в живых, сделав жмуриками остальных «играющих». ",Жмурки
Югославия. 1999 год. Российская спецгруппа получает приказ взять под контроль аэродром Слатина в Косово и удерживать его до прихода подкрепления. Но этот стратегический объект крайне важен албанскому полевому командиру и натовским генералам. Группа вынуждена принять неравный бой с террористами. К аэродрому устремляются российские миротворцы и силы НАТО. Мир вновь близок к большой войне.,Балканский рубеж
"Мама, папа и… пятеро щенят. У Барбоскиных все, как у людей. Папа свободное время проводит за компьютером, дочери увлекаются модой и слушают Жанну Киску, а сыновья играют в футбол и мечтают о Нобелевской премии.",Барбоскины
"Отечественные учёные создали андроида-полицейского. Идеальная во всех отношениях капитан Анна Николаевна Королькевич отправляется служить в провинциальный город, чтобы увидеть реальную жизнь и стать похожей на человека. Коллеги думают, что Анна Николаевна — дочь замминистра, и ничто не предвещает беды, пока очеловечивание не заходит слишком далеко.",Проект «Анна Николаевна»
"Прогрессивные и талантливые Наташа и Рома мечтают о европейской свадьбе на берегу моря... но у Наташиного отчима заготовлен другой сценарий. Грубый чиновник городской администрации рассматривает торжество как трамплин для собственной карьеры и стремится устроить все «как надо». Молодых ждет незабываемый вечер в ресторане «Золотой» с полным набором занудных обрядов. Не в силах бороться, ребята решают провести свадьбу своей мечты в секрете от консервативных родственников. Но по нелепой случайности оба торжества сливаются воедино.",Горько!
"Казалось, никакие бури внешнего мира не смогут поколебать привычный и размеренный ход деревенской жизни Простоквашино. Время как будто застыло. Все так же каждое утро Матроскин дегустирует свежее молоко, полученное от своей любимицы - коровы Мурки. Все так же Шарик проводит время в окрестных лесах, «фотоохотясь» на редкую дичь. Правда, теперь он научился выкладывать фотографии своей добычи в интернет. И все так же, при каждой возможности, их навещает Дядя Федор. И тогда они весело и дружно проводят время своей мужской компанией. И когда им уже стало казаться, что так будет всегда, внезапно все изменилось с появлением одной маленькой девочки, родной сестры Дяди Фёдора. И имя этой девочки – Вера Павловна.",Простоквашино
"Фиксики – маленькие добрые человечки, которые живут в машинах и приборах и заботятся о технике. Но люди не должны знать о фиксиках! Это БОЛЬШОЙ СЕКРЕТ! Фиксики находят способ перемещаться по электрическим проводам. Теперь они смогут мгновенно починить любой прибор, где бы он ни был! И тут недоработанное изобретение попадает к озорнику Файеру. В руках маленького фиксика оно становится причиной больших проблем. Искры, взрывы, разрушения, взбесившаяся техника – город на грани катастрофы! Фиксикам почти чудом удаётся её предотвратить. Но как сохранить их БОЛЬШОЙ СЕКРЕТ?!",Фиксики: Большой секрет
"Когда подступила к Ростову вражеская орда во главе с Тугариным Змеем, Алеша Попович не сумел уберечь жителей от выплаты дани. Теперь богатырь должен восстановить доброе имя, вернуть золото и прогнать неприятеля с земли русской. Он отправляется в путешествие, а помогут ему в этом дядька Тихон, девушка Любава, ее бабушка и говорящий конь Юлий.",Алеша Попович и Тугарин Змей
"На этот раз Леша, Слава, Камиль и Саша едут в Питер. Причём трое из четверых даже не знают, зачем они туда едут. Но в какой-то момент становится понятно, что неважно – зачем. Важно, что едут. И, конечно, плохо, что дома осталась куча нерешённых проблем, но как же хорошо, что про них можно не думать… хотя бы до понедельника. И ещё, конечно, плохо, что отстали от «Сапсана» и пришлось ехать в плацкарте, но как же это неожиданно хорошо… и уютно. А ещё неожиданно хорошо бывает выпить в пять утра текилу-бум. Вроде рано… но так вовремя! А как это вдохновляет на всякие свершения!",О чём говорят мужчины. Продолжение
"Царь Тридевятого царства, в честь своего 150-летия решил, что с него хватит - пора на заслуженный отдых. «Я устал. Я ухожу», - заявил самодержец и с удочкой и ведёрком удалился в деревенскую глушь. А оберегать государство остались Иван с Серым Волком. Вот только Василиса, жена Ивана, заявила, что свадебного путешествия у неё не было, заграницу она не видела, «постить» в инстаграм решительно нечего и вообще. ",Иван Царевич и Серый Волк 3
"2157 год – эпоха расцвета человеческой цивилизации. Пилоты Группы Свободного Поиска бороздят просторы Вселенной. Максим Камеррер совершает вынужденную посадку на планете Саракш, но уже через несколько минут его корабль будет уничтожен, а герой окажется узником неизвестной планеты. Вскоре Максим сталкивается с человеческой цивилизацией.",Обитаемый остров
"Разбуженный ранним звонком майор полиции Сергей Соболев мчится в роддом к лежащей на сохранении жене. На скользкой зимней дороге он насмерть сбивает семилетнего мальчика на глазах у несчастной матери. Майор понимает, что виноват, но велик соблазн оправдаться, используя служебное положение и связи. Сам того не желая, он запускает целую череду смертей. Чтобы ее остановить, Соболеву придется пойти против воспитавшей его системы.",Майор
"Калашников. Все знают эту фамилию, но не все знают, какой долгий и тернистый путь прошёл парень-самоучка, чтобы в 28 лет создать легендарный автомат АК-47, который по сей день является символом оружейной мысли нашего времени.",Калашников
"Вместо десерта на ужин семейство Бобровых получило... метеорит. Настоящий, большой, из космоса. Благодаря ему Бобровы вдруг приобретают немыслимые сверхспособности. Дед становится бессмертным, а отец теперь может телепортироваться. Сын начинает понимать собачий язык, а его сёстры получают суперсилу, возможность летать и быть невидимой. Единственное ограничение - способности действуют только когда вся семейка в сборе.",СуперБобровы
"По мотивам одной из самых известных повестей Николая Гоголя «Тарас Бульба». События «Запорожской сечи» отсылают к тяжелому периоду в истории казачества, когда запорожцы поднялись на борьбу с Речью Посполитой.",Тарас Бульба
"Крош решает устроить незабываемый день рождения Копатыча — он обращается в агентство «Дежавю», которое обещает своим клиентам удивительные путешествия во времени. Но из-за несоблюдения условий договора всех смешариков раскидывает во времени, а Крошу придется собирать друзей по разным эпохам в компании своего второго “Я” - повзрослевшего и ворчливого Шорка, появившегося из-за временного парадокса.",Смешарики. Дежавю
История сопротивления человеческого духа бездушной машине уничтожения. В октябре 1943 года заключённые лагеря Собибор во главе с лейтенантом Красной армии Александром Печерским поднимают восстание - единственное успешное восстание в нацистском лагере смерти.,Собибор
"Загадочный мужчина приходит в себя на пляже в Таиланде. Он не помнит ни своего имени, ни причины, по которой оказался так далеко от дома. Говорит он только по-русски и отличается крайне скверным характером, однако быстро осваивается на новом месте, налаживает связи и даже организует авантюрный бизнес. И вроде все в его жизни снова благополучно, но один вопрос остается неотвеченным: для чего же он все-таки прилетел на другой конец света?",Хэппи-энд
"Майкл, талантливый аферист, собирает команду людей с паранормальными способностями, чтобы ограбить казино. Однако все идет не по плану, и герои оказываются в смертельной опасности. Чтобы спасти их, Майклу придется действовать за гранью реальности — в загадочном мире подсознания, откуда проистекают сверхспособности его друзей.",За гранью реальности
"Уникальный по форме проект, приуроченным к  400-летию воцарения на Руси дома Романовых, который сочетает в себе элементы и игрового, и документального кино, информационной графики и анимации. История расскажет о том, что представляло собой русское самодержавие как система управления, каковы ее недостатки и преимущества, какую роль монархи дома Романовых играли в событиях российской и мировой  истории. При помощи графики  создается максимально исторически-достоверная картина, которая погружает зрителя в атмосферу и ощущение времени и позволяет увидеть царя глазами современников.",Романовы
"Осенью 1952 года шестилетний Санька и его молодая мама знакомятся в поезде с красавцем-военным по имени Толян. Катя влюбляется в Толяна, и все вместе они начинают жить одной семьей. Но на поверку этот бравый и обаятельный офицер оказывается вовсе не отставным военным, а профессиональным вором и мошенником.",Вор
"Последний русский император и балерина, утвердившая славу русского балета. Страсть, которая могла изменить русскую историю. Любовь, ставшая легендой. В жизни каждого человека случаются несколько дней, которые могут изменить её навсегда. Когда происходит самое главное. Ты оборачиваешься на голос любви. И делаешь выбор. Но если властитель империи полюбит танцовщицу, сводящую с ума своей красотой...  Успенский собор, Кремль, Ходынское поле, царские дворцы, сцены Мариинского и Большого театров – там, где бьется сердце вечной России.",Матильда
"Практикующего психотерапевта, эксперта в семейных отношениях, бросает жена. Одного… с пятью дочерьми на руках. Но это – только начало кошмара. С ним остается теща и куча проблем! Сможет ли отец-одиночка, он же – отчаявшийся психотерапевт, распугавший всех клиентов жалобами на жизнь, прокормить семью и снова найти личное счастье? На горизонте уже появилась молодая, привлекательная и очень богатая клиентка – жена миллионера с Рублевки. Смогут ли папины дочки разжалобить ее и уговорить взять папу сначала на работу, а потом, глядишь, и в мужья?",Папины дочки
"1988 год, канун вывода советских войск из Афганистана. Командование 108-й мотострелковой дивизии планирует отход через перевал Саланг, подконтрольный группировке моджахедов Инженера Хошема. Разведка пытается договориться о перемирии с душманами, но дело осложняется тем, что в плен к Хошему попадает советский военный пилот. Начинается сложная игра, в которой переплетаются противоположные интересы множества самых разных людей: штабистов, исламистов, спецназа, разведки, чиновников из афганского правительства, сотрудников советских спецслужб, таджиков и пуштунов. А в самом центре этого водоворота оказываются солдаты разведроты, для которых важнее любых политических соображений остается правило - не бросать своих.",Братство
"Неудачная спецоперация заканчивается для майора Хромова переселением в тело маленького ребенка. И всему виной проклятие гадалки! Но даже пересев из полицейской машины в детскую коляску, он умудряется доставить немало хлопот преступному синдикату на Дальнем Востоке. При этом мама ребенка не подозревает, что ее сын способен вести жесткие допросы, а папа вынужден стать невольным «напарником» Хромова. Ведь для того, чтобы вернуть все на свои места, им предстоит закончить спецоперацию, а значит, отец с младенцем начинают охоту на самого опасного главаря местной мафии.",Напарник
"Веселые истории двух медвежат: Кеши и Белой Тучки. Вместе с героями этой веселой истории, дети будут познавать окружающий мир, знакомиться с самыми разнообразными предметами и тем, как они сделаны, ходить на рыбалку, лечить деревья, вести расследования, добывать мед, читать книжку и даже слетают на Луну!",Ми-ми-мишки
"Рота старшего лейтенанта Александра Доронина откомандирована на Северный Кавказ. Командир полка полковник Галкин поручает Доронину оборону перевала «Грозовые ворота». К роте Доронина прикомандировывают группу спецназа ГРУ под командованием майора Егорова, у которого несколько лет назад от рук террористов погибли жена и сын. Вскоре по прибытии на перевал, Егоров знакомит Доронина со своим доверенным лицом Шахом, бывшим чеченским генералом. У Шаха имеется достоверная информация, что к перевалу стягиваются крупные силы боевиков. Они готовятся нанести роте сокрушительный удар...",Грозовые ворота
"Артем Колчин - всемирно известный боксер по прозвищу Большая Белая Надежда, претендент на чемпионский титул. Однако серьезная проблема со зрением свела на нет его шансы на победу в решающем бою. Артем ослеп и стал изгоем без былой поддержки и финансирования. Чтобы вернуться в спорт, ему придется за считанные дни найти деньги на дорогостоящую операцию, спасти любимую девушку от наемных убийц и поквитаться с предателями.",Бой с тенью
"В начале войны немцы забрасывают в СССР своего диверсанта. Высадка проходит неудачно - шпиона захватывает НКВД. При попытке побега диверсант, оказавшийся русским вором в законе, случайно оставшимся на оккупированной территории, погибает. Чтобы найти остальных шпионов, участвующих в операции, чекистам приходится обратиться к брату-близнецу преступника - сельскому учителю. Тот занимает место покойного в немецкой агентурной сети и вступает в смертельно опасную игру...",Апостол
"Чёрный паук, Чёрная пантера и даже Чёрный осьминог — такими прозвищами награждали Льва Яшина за гибкость, молниеносное перемещение и гениальное видение поля. Он, неизменно в чёрном свитере с буквой «Д», был полноправным хозяином в своей штрафной. После поражения на Чемпионате мира в Чили ему придётся уйти, чтобы позже с триумфом вернуться и снова стать лучшим не только в стране, но и во всём мире — единственным вратарём за всю историю футбола, получившим Золотой мяч. Лучшим, по мнению FIFA, вратарём ХХ века.",Лев Яшин. Вратарь моей мечты
